#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 01 02 01 35 999 99.0 99.0  1.25 14.29  9.25 265 9999.0 999.0  16.6 999.0 99.0 99.00
2014 01 02 02 05 999 99.0 99.0  1.41 14.29  9.88 269 9999.0 999.0  17.4 999.0 99.0 99.00
2014 01 02 02 35 999 99.0 99.0  1.29 12.50  9.36 261 9999.0 999.0  15.5 999.0 99.0 99.00
2014 01 02 03 05 999 99.0 99.0  1.39 14.29  9.84 263 9999.0 999.0  17.1 999.0 99.0 99.00
2014 01 02 03 35 999 99.0 99.0  1.33 13.33  9.76 262 9999.0 999.0  16.2 999.0 99.0 99.00
2014 01 02 04 05 999 99.0 99.0  1.31 14.29  9.71 268 9999.0 999.0  15.9 999.0 99.0 99.00
2014 01 02 04 35 999 99.0 99.0  1.24 14.29  9.81 259 9999.0 999.0  16.0 999.0 99.0 99.00
2014 01 02 05 05 999 99.0 99.0  1.29 14.29  9.83 266 9999.0 999.0  13.9 999.0 99.0 99.00
2014 01 02 05 35 999 99.0 99.0  1.29 13.33 10.08 263 9999.0 999.0  13.8 999.0 99.0 99.00
2014 01 02 06 05 999 99.0 99.0  1.17 14.29  9.49 262 9999.0 999.0  13.7 999.0 99.0 99.00
2014 01 02 06 35 999 99.0 99.0  1.21 14.29  9.47 263 9999.0 999.0  13.6 999.0 99.0 99.00
2014 01 02 07 05 999 99.0 99.0  1.23 13.33  9.52 263 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 02 07 35 999 99.0 99.0  1.21 14.29  9.32 258 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 02 08 05 999 99.0 99.0  1.23 14.29  9.28 255 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 02 08 35 999 99.0 99.0  1.37 14.29  9.33 262 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 02 09 05 999 99.0 99.0  1.16 14.29  8.31 263 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 02 09 35 999 99.0 99.0  1.33 14.29  9.61 258 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 02 10 05 999 99.0 99.0  1.21 14.29  8.82 259 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 02 10 35 999 99.0 99.0  1.27 13.33  8.95 266 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 02 11 05 999 99.0 99.0  1.42 14.29  9.39 268 9999.0 999.0  13.5 999.0 99.0 99.00
2014 01 02 11 35 999 99.0 99.0  1.35 14.29  9.13 261 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 02 12 05 999 99.0 99.0  1.23 13.33  8.88 262 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 02 12 35 999 99.0 99.0  1.33 12.50  9.12 263 9999.0 999.0  13.4 999.0 99.0 99.00
2014 01 02 13 05 999 99.0 99.0  1.30 14.29  8.89 270 9999.0 999.0  13.5 999.0 99.0 99.00
