#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 06 21 21 50 999 99.0 99.0  1.26  8.33  7.01 999 1010.4   9.9  10.3 999.0 99.0 99.00
2014 06 21 22 50 999 99.0 99.0  1.31  8.33  7.09 999 1010.3  10.0  10.7 999.0 99.0 99.00
2014 06 21 23 50 999 99.0 99.0  1.31  8.33  7.32 999 1010.4  10.1  11.0 999.0 99.0 99.00
2014 06 22 00 50 999 99.0 99.0  1.51  7.69  6.26 999 1010.9  10.1   9.6 999.0 99.0 99.00
2014 06 22 01 50 999 99.0 99.0  1.49  8.33  5.86 999 1010.9   9.7   9.3 999.0 99.0 99.00
2014 06 22 02 50 999 99.0 99.0  1.57  7.69  5.70 999 1010.7   9.4   9.1 999.0 99.0 99.00
2014 06 22 03 50 999 99.0 99.0  1.60  7.69  5.58 999 1010.8   9.3   9.8 999.0 99.0 99.00
2014 06 22 04 50 999 99.0 99.0  1.40  7.69  5.42 999 1010.9   9.2   9.5 999.0 99.0 99.00
2014 06 22 05 50 134  5.4  6.3  1.47  7.69  5.62 999 1010.9   9.2   9.3   8.2 99.0 99.00
2014 06 22 06 50 117  5.1  6.1  1.51  7.69  5.61 999 1010.8   9.0   9.0   8.0 99.0 99.00
2014 06 22 07 50 126  5.1  6.1  1.37  7.69  5.21 999 1011.1   9.1   9.1   8.1 99.0 99.00
2014 06 22 08 50 132  5.1  6.2  1.41  8.33  5.35 999 1011.5   9.1   9.1   8.1 99.0 99.00
2014 06 22 09 50 132  5.2  6.1  1.52  7.69  5.35 999 1011.3   9.0   9.2   8.1 99.0 99.00
2014 06 22 10 50 135  4.9  5.9  1.43  8.33  5.53 999 1011.3   9.0   9.3   8.1 99.0 99.00
2014 06 22 11 50 130  5.6  6.3  1.44  8.33  5.47 999 1010.6   8.9   8.9   8.0 99.0 99.00
2014 06 22 12 50 143  5.0  5.8  1.49  8.33  5.60 999 1010.4   9.1   9.1   8.2 99.0 99.00
2014 06 22 13 50 133  4.4  5.4  1.48  7.14  5.39 999 1010.0   9.1   9.3   8.2 99.0 99.00
2014 06 22 14 50 137  4.2  5.1  1.42  8.33  5.39 999 1009.9   9.1   9.2   8.2 99.0 99.00
2014 06 22 15 50 130  4.3  5.4  1.52  8.33  5.59 999 1010.0   9.0   9.3   8.1 99.0 99.00
2014 06 22 16 50 135  4.1  4.8  1.40  7.69  5.41 999 1010.0   9.0   9.3   8.1 99.0 99.00
2014 06 22 17 50 135  4.8  5.8  1.47  8.33  5.45 999 1009.7   9.0   9.1   8.1 99.0 99.00
2014 06 22 18 50 144  4.7  5.6  1.24  7.69  4.89 999 1009.8   8.9   9.0   8.0 99.0 99.00
2014 06 22 19 50 145  5.0  5.9  1.21  8.33  5.02 999 1009.5   9.1   9.1   8.2 99.0 99.00
2014 06 22 20 50 149  5.5  6.3  1.25  8.33  5.11 999 1009.4   9.0   9.2   8.1 99.0 99.00
2014 06 22 21 50 158  4.4  5.1  1.27  8.33  5.24 999 1009.4   9.2   9.2   8.2 99.0 99.00
