#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 12 31 23 50 999 99.0 99.0 99.00 99.00 99.00 999  999.5   1.4   3.6  -1.1 99.0 99.00
2013 01 01 00 50 999 99.0 99.0 99.00 99.00 99.00 999  999.6   1.7   3.6  -1.8 99.0 99.00
2013 01 01 01 50 999 99.0 99.0 99.00 99.00 99.00 999  999.4   1.4   3.6  -2.1 99.0 99.00
2013 01 01 02 50 999 99.0 99.0 99.00 99.00 99.00 999  999.7   0.7   3.7  -0.8 99.0 99.00
2013 01 01 03 50 999 99.0 99.0 99.00 99.00 99.00 999 1000.1   1.0   3.7  -2.1 99.0 99.00
2013 01 01 04 50 999 99.0 99.0 99.00 99.00 99.00 999 1000.2   0.6   3.7  -1.1 99.0 99.00
2013 01 01 05 50 999 99.0 99.0 99.00 99.00 99.00 999  999.6   1.4   3.8  -4.0 99.0 99.00
2013 01 01 06 50 999 99.0 99.0 99.00 99.00 99.00 999  999.2   1.3   3.8  -4.1 99.0 99.00
2013 01 01 07 50 999 99.0 99.0 99.00 99.00 99.00 999  998.7   0.8   3.8  -3.0 99.0 99.00
2013 01 01 08 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0   1.1 999.0 999.0 99.0 99.00
2013 01 01 09 50 999 99.0 99.0 99.00 99.00 99.00 999  996.7   0.9 999.0  -3.7 99.0 99.00
2013 01 01 11 50 999 99.0 99.0 99.00 99.00 99.00 999  994.7   0.5   3.6  -4.5 99.0 99.00
2013 01 01 12 50 999 99.0 99.0 99.00 99.00 99.00 999  993.0   0.8   3.5  -4.5 99.0 99.00
2013 01 01 13 50 999 99.0 99.0 99.00 99.00 99.00 999  991.3   1.1   3.6  -3.2 99.0 99.00
2013 01 01 14 50 999 99.0 99.0 99.00 99.00 99.00 999  989.7   1.6   3.5  -3.3 99.0 99.00
2013 01 01 15 50 999 99.0 99.0 99.00 99.00 99.00 999  987.9   1.7   3.5  -2.5 99.0 99.00
2013 01 01 16 50 999 99.0 99.0 99.00 99.00 99.00 999  986.1   1.4   3.5  -0.5 99.0 99.00
2013 01 01 17 50 999 99.0 99.0 99.00 99.00 99.00 999  984.6   1.1   3.5   0.5 99.0 99.00
2013 01 01 18 50 999 99.0 99.0 99.00 99.00 99.00 999  983.0   1.0 999.0   0.6 99.0 99.00
2013 01 01 19 50 999 99.0 99.0 99.00 99.00 99.00 999  981.8   1.1   3.5   1.0 99.0 99.00
2013 01 01 20 50 999 99.0 99.0 99.00 99.00 99.00 999  980.6   1.2   3.5   1.2 99.0 99.00
2013 01 01 21 50 999 99.0 99.0 99.00 99.00 99.00 999  979.5   1.4   3.5   1.4 99.0 99.00
2013 01 01 22 50 999 99.0 99.0 99.00 99.00 99.00 999  978.1   1.7   3.6   1.7 99.0 99.00
2013 01 01 23 50 999 99.0 99.0  2.27 10.00  5.52 999  976.7   2.1 999.0   1.8 99.0 99.00
2013 01 02 00 50 999 99.0 99.0 99.00 99.00 99.00 999  976.0   2.4   3.6   1.7 99.0 99.00
2013 01 02 01 50 999 99.0 99.0 99.00 99.00 99.00 999  975.6   3.1   3.5   1.7 99.0 99.00
2013 01 02 02 50 999 99.0 99.0 99.00 99.00 99.00 999  975.8   3.1   3.5   1.2 99.0 99.00
2013 01 02 03 50 999 99.0 99.0  2.85  7.14  5.84 999  976.1   2.3   3.6   0.9 99.0 99.00
2013 01 02 04 50 999 99.0 99.0 99.00 99.00 99.00 999  976.0   3.3   3.5   0.7 99.0 99.00
2013 01 02 05 50 999 99.0 99.0 99.00 99.00 99.00 999  975.8   2.7   3.5   0.6 99.0 99.00
2013 01 02 06 50 999 99.0 99.0 99.00 99.00 99.00 999  975.5   3.2   3.5   0.1 99.0 99.00
2013 01 02 07 50 999 99.0 99.0 99.00 99.00 99.00 999  975.4   2.6 999.0   0.6 99.0 99.00
2013 01 02 08 50 999 99.0 99.0 99.00 99.00 99.00 999  975.0   2.3 999.0   1.0 99.0 99.00
2013 01 02 09 50 999 99.0 99.0 99.00 99.00 99.00 999  974.4   2.4   3.5   1.2 99.0 99.00
2013 01 02 10 50 999 99.0 99.0 99.00 99.00 99.00 999  973.4   2.3   3.5   1.4 99.0 99.00
2013 01 02 11 50 999 99.0 99.0 99.00 99.00 99.00 999  973.2   1.7   3.6   1.1 99.0 99.00
2013 01 02 12 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0   2.4 999.0   1.6 99.0 99.00
2013 01 02 13 50 999 99.0 99.0 99.00 99.00 99.00 999  972.5   2.2   3.6   0.9 99.0 99.00
2013 01 02 14 50 999 99.0 99.0 99.00 99.00 99.00 999  972.7   1.6   3.6   0.7 99.0 99.00
2013 01 02 15 50 999 99.0 99.0 99.00 99.00 99.00 999  973.0   2.2   3.5   1.4 99.0 99.00
2013 01 02 16 50 999 99.0 99.0 99.00 99.00 99.00 999  973.6   2.6   3.5   1.4 99.0 99.00
2013 01 02 17 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0   2.9 999.0   0.7 99.0 99.00
2013 01 02 18 50 999 99.0 99.0 99.00 99.00 99.00 999  975.6   2.2   3.5   0.9 99.0 99.00
2013 01 02 19 50 999 99.0 99.0 99.00 99.00 99.00 999  976.8   1.7   3.5   1.0 99.0 99.00
2013 01 02 20 50 999 99.0 99.0 99.00 99.00 99.00 999  978.0   2.1   3.6   0.8 99.0 99.00
2013 01 02 21 50 999 99.0 99.0 99.00 99.00 99.00 999  978.8   3.2   3.6   0.7 99.0 99.00
2013 01 02 22 50 999 99.0 99.0 99.00 99.00 99.00 999  979.4   3.4   3.5   0.7 99.0 99.00
2013 01 02 23 50 999 99.0 99.0 99.00 99.00 99.00 999  979.6   2.3   3.5   1.5 99.0 99.00
2013 01 03 00 50 999 99.0 99.0  5.23 12.90  8.12 999  980.3   1.9   3.5   0.9 99.0 99.00
2013 01 03 01 50 999 99.0 99.0 99.00 99.00 99.00 999  981.6   1.8   3.5   0.9 99.0 99.00
2013 01 03 02 50 999 99.0 99.0 99.00 99.00 99.00 999  982.6   1.8   3.5   0.0 99.0 99.00
2013 01 03 03 50 999 99.0 99.0 99.00 99.00 99.00 999  984.1   1.8   3.6  -0.9 99.0 99.00
2013 01 03 04 50 999 99.0 99.0 99.00 99.00 99.00 999  984.9   2.0   3.6  -2.1 99.0 99.00
2013 01 03 05 50 999 99.0 99.0 99.00 99.00 99.00 999  985.6   2.1   3.6  -3.3 99.0 99.00
2013 01 03 06 50 999 99.0 99.0 99.00 99.00 99.00 999  986.4   2.0   3.6  -3.1 99.0 99.00
2013 01 03 08 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0   2.2 999.0  -3.1 99.0 99.00
2013 01 03 09 50 999 99.0 99.0 99.00 99.00 99.00 999  987.4   2.3   3.7  -1.9 99.0 99.00
2013 01 03 10 50 999 99.0 99.0 99.00 99.00 99.00 999  987.5   2.1   3.8  -0.5 99.0 99.00
2013 01 03 11 50 999 99.0 99.0 99.00 99.00 99.00 999  987.3   2.4   3.6  -1.7 99.0 99.00
2013 01 03 12 50 999 99.0 99.0  4.92 13.79  8.90 999  987.3   2.3   3.6  -0.8 99.0 99.00
2013 01 03 13 50 999 99.0 99.0 99.00 99.00 99.00 999  987.8   1.5   3.6  -0.2 99.0 99.00
2013 01 03 14 50 999 99.0 99.0 99.00 99.00 99.00 999  987.9   2.0   3.6  -0.5 99.0 99.00
2013 01 03 15 50 999 99.0 99.0 99.00 99.00 99.00 999  988.1   2.6   3.6  -0.7 99.0 99.00
2013 01 03 16 50 999 99.0 99.0  4.62 13.79  9.46 999  988.3   2.1   3.5  -0.5 99.0 99.00
2013 01 03 17 50 999 99.0 99.0 99.00 99.00 99.00 999 9999.0   2.4 999.0   0.4 99.0 99.00
2013 01 03 18 50 999 99.0 99.0 99.00 99.00 99.00 999  989.0   2.7   3.5   0.5 99.0 99.00
2013 01 03 19 50 999 99.0 99.0  4.63 14.81  9.51 999  989.7   2.2   3.6   0.4 99.0 99.00
2013 01 03 20 50 999 99.0 99.0 99.00 99.00 99.00 999  990.4   2.1   3.5   0.6 99.0 99.00
2013 01 03 21 50 999 99.0 99.0 99.00 99.00 99.00 999  991.0   2.8   3.5   0.0 99.0 99.00
2013 01 03 22 50 999 99.0 99.0 99.00 99.00 99.00 999  991.2   3.0   3.5  -0.5 99.0 99.00
2013 01 03 23 50 999 99.0 99.0 99.00 99.00 99.00 999  991.2   3.2   3.5  -1.8 99.0 99.00
2013 01 04 00 50 999 99.0 99.0 99.00 99.00 99.00 999  991.4   3.3   3.5  -1.9 99.0 99.00
2013 01 04 01 50 999 99.0 99.0 99.00 99.00 99.00 999  991.4   3.4   3.5  -1.6 99.0 99.00
2013 01 04 02 50 999 99.0 99.0 99.00 99.00 99.00 999  992.0   3.3   3.5  -2.0 99.0 99.00
2013 01 04 03 50 999 99.0 99.0 99.00 99.00 99.00 999  992.3   3.2   3.5  -1.9 99.0 99.00
2013 01 04 04 50 999 99.0 99.0 99.00 99.00 99.00 999  992.3   3.2   3.5  -1.7 99.0 99.00
