#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 01 01 00 06 999 99.0 99.0  1.59 20.00  9.98 265 9999.0 999.0  15.1 999.0 99.0 99.00
2013 01 01 05 36 999 99.0 99.0  1.33 18.18  8.05 254 9999.0 999.0  14.2 999.0 99.0 99.00
2013 01 01 06 06 999 99.0 99.0  1.48 18.18  9.54 255 9999.0 999.0  14.3 999.0 99.0 99.00
2013 01 01 06 36 999 99.0 99.0  1.47 18.18  9.55 258 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 01 07 06 999 99.0 99.0  1.42 18.18  9.66 263 9999.0 999.0  14.5 999.0 99.0 99.00
2013 01 01 07 36 999 99.0 99.0  1.42 18.18  9.69 260 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 01 08 06 999 99.0 99.0  1.39 18.18  9.70 261 9999.0 999.0  13.7 999.0 99.0 99.00
2013 01 01 08 36 999 99.0 99.0  1.41 18.18  9.85 263 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 01 09 06 999 99.0 99.0  1.46 18.18 10.28 277 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 01 09 36 999 99.0 99.0  1.53 18.18 10.86 271 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 01 10 06 999 99.0 99.0  1.68 18.18 11.99 260 9999.0 999.0  14.1 999.0 99.0 99.00
2013 01 01 10 36 999 99.0 99.0  1.37 18.18 10.08 261 9999.0 999.0  14.0 999.0 99.0 99.00
2013 01 01 11 06 999 99.0 99.0  1.42 18.18 10.27 255 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 01 11 36 999 99.0 99.0  1.42 16.67 10.18 257 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 01 12 06 999 99.0 99.0  1.39 16.67  9.65 260 9999.0 999.0  13.7 999.0 99.0 99.00
2013 01 01 12 36 999 99.0 99.0  1.50 16.67 10.38 258 9999.0 999.0  13.6 999.0 99.0 99.00
2013 01 01 13 06 999 99.0 99.0  1.42 16.67  9.85 265 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 01 13 36 999 99.0 99.0  1.38 18.18  9.59 246 9999.0 999.0  13.6 999.0 99.0 99.00
2013 01 01 14 06 999 99.0 99.0  1.46 16.67 10.04 261 9999.0 999.0  13.2 999.0 99.0 99.00
2013 01 01 14 36 999 99.0 99.0  1.49 16.67 10.47 251 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 01 15 06 999 99.0 99.0  1.64 16.67 11.02 251 9999.0 999.0  13.9 999.0 99.0 99.00
2013 01 01 15 36 999 99.0 99.0  1.55 16.67 10.69 250 9999.0 999.0  14.3 999.0 99.0 99.00
2013 01 01 16 06 999 99.0 99.0  1.60 16.67 10.58 255 9999.0 999.0  14.7 999.0 99.0 99.00
2013 01 01 16 36 999 99.0 99.0  1.71 16.67 11.38 257 9999.0 999.0  14.3 999.0 99.0 99.00
2013 01 01 17 06 999 99.0 99.0  1.80 16.67 11.49 257 9999.0 999.0  13.8 999.0 99.0 99.00
2013 01 01 17 36 999 99.0 99.0  1.83 16.67 11.63 257 9999.0 999.0  13.7 999.0 99.0 99.00
2013 01 01 18 06 999 99.0 99.0  1.92 16.67 12.16 261 9999.0 999.0  14.4 999.0 99.0 99.00
2013 01 01 18 36 999 99.0 99.0  1.67 16.67 11.24 257 9999.0 999.0  14.3 999.0 99.0 99.00
2013 01 01 19 06 999 99.0 99.0  2.09 16.67 12.65 260 9999.0 999.0  14.3 999.0 99.0 99.00
2013 01 01 19 36 999 99.0 99.0  1.89 15.38 12.21 264 9999.0 999.0  15.1 999.0 99.0 99.00
2013 01 01 20 06 999 99.0 99.0  1.79 16.67 11.84 257 9999.0 999.0  15.4 999.0 99.0 99.00
2013 01 01 20 36 999 99.0 99.0  1.91 15.38 12.28 260 9999.0 999.0  15.5 999.0 99.0 99.00
2013 01 01 21 06 999 99.0 99.0  1.81 16.67 12.26 257 9999.0 999.0  14.9 999.0 99.0 99.00
2013 01 01 21 36 999 99.0 99.0  1.84 15.38 12.25 255 9999.0 999.0  14.9 999.0 99.0 99.00
