#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 12 31 23 50  71  5.7  6.7  2.09 13.79  7.29 349 1012.5  25.1  25.6 999.0 99.0 99.00
2014 01 01 00 50  78  5.7  7.1  2.44 13.79  7.95 341 1012.2  25.1  25.6 999.0 99.0 99.00
2014 01 01 01 50  84  6.0  7.2  2.01 12.90  7.24 338 1012.1  25.2  25.6 999.0 99.0 99.00
2014 01 01 02 50  86  5.6  7.2  2.16 13.79  7.30 338 1012.4  25.2  25.6 999.0 99.0 99.00
2014 01 01 03 50  82  5.3  6.3  2.11 12.90  7.16 332 1013.0  24.9  25.5 999.0 99.0 99.00
2014 01 01 04 50  79  4.9  5.9  2.19 13.79  7.59 335 1013.5  24.9  25.5 999.0 99.0 99.00
2014 01 01 05 50  68  4.1  5.2  2.29 12.12  7.83 341 1014.1  24.9  25.5 999.0 99.0 99.00
2014 01 01 06 50  62  4.8  5.8  2.23 12.90  7.91 348 1014.4  24.9  25.5 999.0 99.0 99.00
2014 01 01 07 50  62  5.2  6.1  2.43 12.90  7.85 343 1014.5  24.9  25.5 999.0 99.0 99.00
2014 01 01 08 50  75  5.8  6.7  2.17 12.90  7.62 333 1014.3  24.9  25.4 999.0 99.0 99.00
2014 01 01 09 50  70  6.0  6.9  2.09 13.79  7.17 349 1013.8  24.9  25.4 999.0 99.0 99.00
2014 01 01 10 50  73  6.6  7.6  2.08 12.90  7.09 331 1013.5  24.8  25.4 999.0 99.0 99.00
2014 01 01 11 50  71  6.7  7.9  2.14 12.12  7.21 341 1013.1  24.7  25.4 999.0 99.0 99.00
2014 01 01 12 50  74  7.1  8.8  2.14 12.12  6.95 353 1012.7  24.8  25.4 999.0 99.0 99.00
2014 01 01 13 50  69  6.4  8.1  2.01  8.33  6.61 129 1012.6  24.9  25.4 999.0 99.0 99.00
2014 01 01 14 50  67  7.2  8.7  2.03 12.90  6.53 330 1012.9  24.8  25.4 999.0 99.0 99.00
2014 01 01 15 50  65  6.6  7.5  2.10 12.12  6.54 346 1013.0  24.8  25.4 999.0 99.0 99.00
2014 01 01 16 50  52  7.3  8.6  1.91 11.43  6.47 333 1013.4  24.8  25.4 999.0 99.0 99.00
2014 01 01 17 50  60  8.0  9.3  1.96 12.12  6.61 343 1013.8  25.1  25.4 999.0 99.0 99.00
2014 01 01 18 50  70  7.7  9.1  1.94 12.12  6.14 347 1014.1  25.4  25.4 999.0 99.0 99.00
2014 01 01 19 50  77  7.6  9.1  2.10 12.12  6.51 345 1014.2  25.4  25.4 999.0 99.0 99.00
2014 01 01 20 50  70  7.5  8.7  1.85  7.69  6.21  86 1013.8  25.2  25.5 999.0 99.0 99.00
2014 01 01 21 50  81  7.4  8.6  2.01  7.69  6.18 119 1013.2  25.2  25.5 999.0 99.0 99.00
2014 01 01 22 50  72  6.9  8.1  1.89 12.12  6.12 327 1012.3  25.1  25.5 999.0 99.0 99.00
2014 01 01 23 50  77  5.7  7.5  1.88  7.69  6.28 106 1011.6  25.0  25.6 999.0 99.0 99.00
2014 01 02 00 50  76  5.3  6.3  1.85  7.69  6.15 125 1011.1  25.2  25.6 999.0 99.0 99.00
2014 01 02 01 50  75  5.6  6.8  1.84 11.43  6.18 337 1010.9  25.3  25.6 999.0 99.0 99.00
2014 01 02 02 50  81  5.7  6.7  1.74  8.33  6.07 105 1011.0  25.3  25.5 999.0 99.0 99.00
2014 01 02 03 50  92  6.0  7.1  1.68 11.43  6.38 347 1011.5  25.0  25.5 999.0 99.0 99.00
2014 01 02 04 50  89  5.8  7.0  1.64  7.69  6.12 115 1012.2  25.0  25.5 999.0 99.0 99.00
2014 01 02 05 50  72  5.5  7.3  1.46  7.69  6.05 102 1013.2  25.0  25.4 999.0 99.0 99.00
2014 01 02 06 50  69  5.1  5.9  1.57  8.33  6.25  82 1013.7  25.0  25.4 999.0 99.0 99.00
2014 01 02 07 50  61  4.6  5.3  1.63  7.69  6.28  93 1014.0  24.9  25.4 999.0 99.0 99.00
2014 01 02 08 50  66  5.0  6.0  1.61  7.69  6.33  86 1013.6  24.8  25.4 999.0 99.0 99.00
2014 01 02 09 50  66  5.7  6.7  1.54  7.69  6.18  80 1013.1  24.7  25.4 999.0 99.0 99.00
2014 01 02 10 50  67  5.0  6.0  1.64  7.69  6.50 113 1012.5  24.6  25.4 999.0 99.0 99.00
2014 01 02 11 50  75  5.4  6.4  1.57  7.14  6.14  92 1011.7  24.5  25.3 999.0 99.0 99.00
2014 01 02 12 50  78  5.3  6.4  1.69  7.69  6.34 108 1010.9  24.4  25.3 999.0 99.0 99.00
2014 01 02 13 50  91  5.5  6.3  1.70  7.69  6.40 108 1010.5  24.4  25.3 999.0 99.0 99.00
2014 01 02 14 50  92  4.7  5.6  1.61  7.69  6.25 110 1010.8  24.4  25.3 999.0 99.0 99.00
2014 01 02 15 50  82  4.2  4.9  1.77  7.69  6.47 112 1011.2  24.5  25.3 999.0 99.0 99.00
2014 01 02 16 50  77  3.8  4.9  1.64  7.69  6.24 116 1011.8  24.5  25.3 999.0 99.0 99.00
2014 01 02 17 50  79  4.6  5.4  1.53  7.69  6.25 113 1012.4  25.1  25.3 999.0 99.0 99.00
2014 01 02 18 50  70  4.1  4.8  1.61  8.33  6.43 108 1012.9  25.3  25.4 999.0 99.0 99.00
2014 01 02 19 50  92  3.8  4.9  1.71  7.14  6.42 106 1012.9  25.2  25.4 999.0 99.0 99.00
2014 01 02 20 50  91  4.3  5.0  1.55  7.14  6.31 101 1012.4  25.1  25.5 999.0 99.0 99.00
2014 01 02 21 50 101  3.7  4.6  1.50  6.67  6.76 108 1011.5  25.1  25.6 999.0 99.0 99.00
2014 01 02 22 50 100  3.5  4.4  1.38  8.33  6.35 113 1010.3  25.1  25.7 999.0 99.0 99.00
2014 01 02 23 50 107  2.4  3.2  1.47  8.33  6.56 102 1009.6  25.1  25.8 999.0 99.0 99.00
2014 01 03 00 50 143  1.3  2.3  1.50  8.33  6.62 104 1009.2  25.5  26.0 999.0 99.0 99.00
2014 01 03 01 50 115  1.1  1.8  1.42  8.33  6.62  98 1009.3  25.9  26.1 999.0 99.0 99.00
2014 01 03 02 50 101  0.5  1.4  1.42  9.09  6.80 102 1009.5  26.3  26.2 999.0 99.0 99.00
2014 01 03 03 50  34  0.6  1.3  1.60  9.09  7.13  87 1009.9  25.0  26.1 999.0 99.0 99.00
2014 01 03 04 50  97  1.3  2.0  1.45  8.33  7.11 102 1010.3  24.7  25.9 999.0 99.0 99.00
2014 01 03 05 50  92  1.7  2.4  1.62  8.33  7.62 107 1010.6  24.8  25.8 999.0 99.0 99.00
2014 01 03 06 50  87  1.3  2.2  1.59  9.09  7.72 101 1011.0  24.7  25.7 999.0 99.0 99.00
2014 01 03 07 50 108  1.6  2.3  1.60  9.09  7.52 111 1011.3  24.6  25.6 999.0 99.0 99.00
2014 01 03 08 50 112  2.4  3.2  1.71  8.33  7.81 109 1011.2  24.7  25.6 999.0 99.0 99.00
2014 01 03 09 50 144  3.1  4.5  1.65  9.09  7.77 107 1010.8  24.7  25.4 999.0 99.0 99.00
2014 01 03 10 50 179  3.2  4.5  1.55  8.33  7.79 108 1010.5  24.9  25.4 999.0 99.0 99.00
2014 01 03 11 50 167  4.4  5.6  1.55  9.09  7.84 106 1009.8  24.8  25.4 999.0 99.0 99.00
2014 01 03 12 50 190  4.5  5.3  1.56  8.33  7.58  96 1009.4  24.7  25.4 999.0 99.0 99.00
2014 01 03 13 50 199  4.5  5.8 99.00 99.00 99.00 999 1009.0  24.3  25.4 999.0 99.0 99.00
2014 01 03 14 50 199  5.0  6.2  1.56  9.09  7.25 103 1009.1  24.7  25.3 999.0 99.0 99.00
